letter;count_taka
o;25468
e;20070
y;17655
a;14281
ch;13154
d;12973
k;10934
l;10518
r;7456
t;6944
q;5423
Sh;4501
iin;4232
s;2886
in;1752
p;1630
i;1240
m;1116
f;505
g;96
x;35
v;9
